四时运灰琯 一夕变冬春 送寒余雪尽 迎岁早梅新
白玉谁家郎 回车渡天津 看花东上陌 惊动洛阳人
此地无驻马 夜中犹走轮 所以路旁草 少于衣上尘
为底胡姬酒 长来白鼻騧 摘莲抛水上 郎意在浮花
嫁得瞿塘贾 朝朝误妾期 早知潮有信 嫁与弄潮儿
汉使南还尽 胡中妾独存 紫台绵望绝 秋草不堪论
锦车天外去 毳幕云中开 魏阙苍龙远 萧关赤雁哀
仙娥今下嫁 骄子自同和 剑戟归田尽 牛羊绕塞多
汉宫若远近 路在沙塞上 到死不得归 何人共南望
魏王铜雀妓 日暮管弦清 一见西陵树 悲心舞不成
恨唱歌声咽 愁翻舞袖迟 西陵日欲暮 是妾断肠时
藕花凉露湿 花缺藕根涩 飞下雌鸳鸯 塘水声溢溢
试妾与君泪 两处滴池水 看取芙蓉花 今年为谁死
夺宠心那惯 寻思倚殿门 不知移旧爱 何处作新恩
空宫古廊殿 寒月照斜晖 卧听未央曲 满箱歌舞衣
长信宫中草 年年愁处生 故侵珠履迹 不使玉阶行
玉阶生白露 夜久侵罗袜 却下水精帘 玲珑望秋月
寂寥抱冬心 裁罗又絅絅 夜久频挑灯 霜寒剪刀冷
朔风扣群木 严霜凋百草 借问月中人 安得长不老
山连翠羽屏 草接烟华席 望尽南飞燕 佳人断信息
兰眼抬露斜 莺唇映花老 金龙倾漏尽 玉井敲冰早
凉汉清泬寥 衰林怨风雨 愁听络纬唱 似与羁魂语
南光走冷圭 北籁号空木 年年任霜霰 不减筼筜绿
碧玉上宫妓 出入千花林 珠被玳瑁床 感郎情意深
轻车何草草 独唱后庭花 玉座谁为主 徒悲张丽华
众鸟各归枝 乌乌尔不栖 还应知妾恨 故向绿窗啼
侬居石城下 郎到石城游 自郎石城出 长在石城头
海客乘天风 将船远行役 譬如云中鸟 一去无踪迹
大堤花月夜 长江春水流 东风正上信 春夜特来游
玉溆花红发 金塘水碧流 相逢畏相失 并着采莲舟
帝子不可见 秋风来暮思 婵娟湘江月 千载空蛾眉
渌水明秋月 南湖采白蘋 荷花娇欲语 愁杀荡舟人
何处秋风至 萧萧送雁群 朝来入庭树 孤客最先闻
虽入秦帝宫 不上秦帝床 夜夜玉窗里 与他卷罗裳
妾年初二八 两度嫁狂夫 薄命今犹在 坚贞扫地无
遗却珊瑚鞭 白马骄不行 章台折杨柳 春草路旁情
壮士不曾悲 悲即无回期 如何易水上 未歌先泪垂
红颜称绝代 欲并真无侣 独有镜中人 由来自相许
自君之出矣 梁尘静不飞 思君如满月 夜夜减容晖
自君之出矣 弦吹绝无声 思君如百草 撩乱逐春生
自君之出矣 宝镜为谁明 思君如陇水 长闻呜咽声
自君之出矣 万物看成古 千寻葶苈枝 争奈长长苦
辽阳望河县 白首无由见 海上珊瑚枝 年年寄春燕
欲别牵郎衣 问郎游何处 不恨归日迟 莫向临邛去
手把杏花枝 未曾经别离 黄昏掩闺后 寂寞自心知
送别未能旋 相望连水口 船行欲映洲 几度急摇手
风烟纪南城 尘土荆门路 天寒猎兽者 走上樊姬墓
月暗送湖风 相寻路不通 菱歌唱不辍 知在此塘中
自与王孙别 频看黄鸟飞 应由春草误 着处不成归
不寐倦长更 披衣出户行 月寒秋竹冷 风切夜窗声
香销连理带 尘覆合欢杯 懒卧相思枕 愁吟起夜来
念远心如烧 不觉中夜起 桃花带露泛 立在月明里
愁人夜独伤 灭烛卧兰房 只恐多情月 旋来照妾床
敢嗟君不怜 自是命不谐 着破三条裾 却还双股钗
江水春沉沉 上有双竹林 竹叶坏水色 郎亦坏人心
摇漾越江春 相将看白蘋 归时不觉夜 出浦月随人
青青树中草 托根非不危 草生树却死 荣枯君可知
芙蓉初出水 菡萏露中花 风吹着枯木 无奈值空槎
金花折风帽 白马小迟回 翩翩舞广袖 似鸟海东来
双带仍分影 同心巧结香 不应须换彩 意欲媚浓妆
闺烛无人影 罗屏有梦魂 近来音耗绝 终日望君门
开箧泪沾襦 见君前日书 夜台空寂寞 犹见紫云车
闻道黄花戍 频年不解兵 可怜闺里月 偏照汉家营
千里东归客 无心忆旧游 挂帆游白水 高枕到青州
桂殿江乌对 雕屏海燕重 只应多酿酒 醉罢乐高钟
行乐三阳早 芳菲二月春 闺中红粉态 陌上看花人
君住孤山下 烟深夜径长 辕门渡绿水 游苑绕垂杨
分野中峰变 阴晴众壑殊 欲投人处宿 隔浦问樵夫
共得烟霞径 东归山水游 萧萧望林夜 寂寂坐中秋
香气传空满 妆花映薄红 歌声天仗外 舞态御楼中
树发花如锦 莺啼柳若丝 更逢欢宴地 愁见别离时
明月照秋叶 西风响夜砧 强言徒自乱 往事不堪寻
坐对银釭晓 停留玉箸痕 君门常不见 无处谢前恩
曙月当窗满 征人出塞遥 画楼终日闭 清管为谁调
扬子谭经去 淮王载酒过 醉来啼鸟唤 坐久落花多
玉管朝朝弄 清歌日日新 折花当驿路 寄与陇头人
入夜秋砧动 千门起四邻 不缘楼上月 应为陇头人
风劲角弓鸣 将军猎渭城 草枯鹰眼疾 雪尽马蹄轻
飞丝惹绿尘 软叶对孤轮 今朝入园去 物色强看人
百战得功名 天兵意气生 三边永不战 此是我皇英
塞外虏尘飞 频年度碛西 死生随玉剑 辛苦向金微
闻道行人至 妆梳对镜台 泪痕犹尚在 笑靥自然开
云送关西雨 风传渭北秋 孤灯然客梦 寒杵捣乡愁
昨日春园饮 今朝倒接篱 谁人扶上马 不省下楼时
柳色青山映 梨花雪鸟藏 绿窗桃李下 闲坐叹春芳
欲使传消息 空书意不任 寄君明月镜 偏照故人心
雁来书不至 月照独眠房 贱妾多愁思 不堪秋夜长
夜闻邻妇泣 切切有馀哀 即问缘何事 征人战未回
湘江斑竹枝 锦翼鹧鸪飞 处处湘阴合 郎从何处归
系马宫槐老 持怀店菊黄 故交今不见 流恨满川光
海浪恬丹徼 边尘靖黑山 从今万里外 不复镇萧关
泪滴珠难尽 容残玉易销 傥随明月去 莫道梦魂遥
风俗今和厚 君王在穆清 行看采花曲 尽是太阶平
圣德超千古 皇威静四方 苍生今息战 无事觉时长
开帘见新月 便即下阶拜 细语人不闻 北风吹裙带
雪花联玉树 冰彩散瑶池 翔禽遥出没 积翠远参差
和风起天路 严气消冰井 索索枝未柔 厌厌漏犹永
霜间开紫蒂 露下发金英 但令逢采摘 宁辞独晚荣
飒飒风叶下 遥遥烟景曛 霸陵无醉尉 谁滞李将军
日暮霜风急 羽翮转难任 为有传书意 翩翩入上林
霜重麟胶劲 风高月影圆 乌飞随帝辇 雁落逐鸣弦
圆池类璧水 轻翰染烟华 将军欲定远 见弃不应赊
皇猷被寰宇 端扆属元辰 九重丽天邑 千门临上春
二八如回雪 三春类早花 分行向烛转 一种逐风斜
本逐征鸿去 还随落叶来 菊花应未满 请待诗人开
游人倦蓬转 乡思逐雁来 偏想临潭菊 芳蕊对谁开
日里飏朝彩 琴中伴夜啼 上林如许树 不借一枝栖
逐舞飘轻袖 传歌共绕梁 动枝生乱影 吹花送远香
初日明燕馆 新溜满梁池 归云半入岭 残滴尚悬枝
春苑月裴回 竹堂侵夜开 惊鸟排林度 风花隔水来
繁弦奏渌水 长袖转回鸾 一双俱应节 还似镜中看
的历流光小 飘飖弱翅轻 恐畏无人识 独自暗中明
垂緌饮清露 流响出疏桐 居高声自远 非是藉秋风
日暮霜风急 羽翮转难任 为有传书意 联翩入上林
遇坎聊知止 逢风或未归 孤根何处断 轻叶强能飞
石苔应可践 丛枝幸易攀 青溪归路直 乘月夜歌还
为向东溪道 人来路渐赊 山中春酒熟 何处得停家
春来日渐长 醉客喜年光 稍觉池亭好 偏宜酒瓮香
阮籍醒时少 陶潜醉日多 百年何足度 乘兴且长歌
昨夜瓶始尽 今朝瓮即开 梦中占梦罢 还向酒家来
旦逐刘伶去 宵随毕卓眠 不应长卖卜 须得杖头钱
野觞浮郑酌 山酒漉陶巾 但令千日醉 何惜两三春
浮生知几日 无状逐空名 不如多酿酒 时向竹林倾
北场芸藿罢 东皋刈黍归 相逢秋月满 更值夜萤飞
促轸乘明月 抽弦对白云 从来山水韵 不使俗人闻
六月调神曲 正朝汲美泉 从来作春酒 未省不经年
电影江前落 雷声峡外长 霁云无处所 台馆晓苍苍
故乡行云是 虚室坐间同 日落西山暮 方知天下空
低身锵玉佩 举袖拂罗衣 对檐疑燕起 映雪似花飞
独负千金价 应从买笑来 只持难发口 经为几人开
可惜庭中树 移根逐汉臣 只为来时晚 花开不及春
结叶还临影 飞香欲遍空 不意馀花落 翻沉露井中
畴昔同幽谷 伊尔迁乔木 赫奕盛青紫 讨论穷简牍
早秋惊落叶 飘零似客心 翻飞未肯下 犹言惜故林
泪滴珠难尽 容残玉易销 倘随明月去 莫道梦魂遥
冶长倦缧绁 韩安叹死灰 始验山中木 方知贵不材
落叶聚还散 征禽去不归 以我穷途泣 沾君出塞衣
隔巷遥停幰 非复为来迟 只言更尚浅 未是渡河时
光映妆楼月 花承歌扇风 欲妒梅将柳 故落早春中
遥想观涛处 犹意采莲歌 无因关塞叶 共下洞庭波
敛辔遵龙汉 衔凄渡玉关 今日流沙外 垂涕念生还
倦采蘼芜叶 贪怜照胆明 两边俱拭泪 一处有啼声
脉脉广川流 驱马历长洲 鹊飞山月曙 蝉噪野风秋
桂香尘处减 练影月前空 定惑由关吏 徒嗟塞上翁
绝顶横临日 孤峰半倚天 裴回拜真老 万里见风烟
浮香绕曲岸 圆影覆华池 常恐秋风早 飘零君不知
独舞依磐石 群飞动轻浪 奋迅碧沙前 长怀白云上
封霜连锦砌 防露拂瑶阶 聊将仪凤质 暂与俗人谐
高情临爽月 急响送秋风 独有危冠意 还将衰鬓同
倚棹春江上 横舟石岸前 山暝行人断 迢迢独泛仙
关山客子路 花柳帝王城 此中一分手 相顾怜无声
落落树阴紫 澄澄水华碧 复有翻飞禽 裴回疑曳舄
宝地乘峰出 香台接汉高 稍觉真途近 方知人事劳
清心自饮露 哀响乍吟风 未上华冠侧 先惊翳叶中
窗里怜灯暗 阶前畏月明 不辞逢露湿 只为重宵行
疲疴荷拙患 沦踬合幽襟 栖息在何处 丘中鸣素琴
日影飞花殿 风文积草池 凤楼通夜敞 虬辇望春移
逸足还同骥 奇毛自偶麟 欲知花迹远 云影入天津
锦帐随情设 金炉任意熏 惟愁员外署 不应列星文
离忧将岁尽 归望逐春来 庭花如有意 留艳待人开
变石身犹重 衔泥力尚微 从来赴甲第 两起一双飞
冬去更筹尽 春随斗柄回 寒暄一夜隔 客鬓两年催
澹澹长江水 悠悠远客情 落花相与恨 到地一无声
万里人南去 三春雁北飞 不知何岁月 得与尔同归
独酌芳春酒 登楼已半曛 谁惊一行雁 冲断过江云
端居正无绪 那复发秦筝 纤指传新意 繁弦起怨情
函谷虽云险 黄河已复清 圣心无所隔 空此置关城
嶙嶙故城垒 荒凉空戍楼 在德不在险 方知王道休
上苑春先入 中园花尽开 唯馀幽径草 尚待日光催
自君之出矣 不复理残机 思君如满月 夜夜减清辉
松叶堪为酒 春来酿几多 不辞山路远 踏雪也相过
赵氏连城璧 由来天下传 送君还旧府 明月满前川
岭外音书断 经冬复历春 近乡情更怯 不敢问来人
家住嵩山下 好采旧山薇 自省游泉石 何曾不夜归
愿与道林近 在意逍遥篇 自有灵佳寺 何用沃洲禅
山游杳何处 迟回伊洛间 归寝忽成梦 宛在嵩丘山
昔日河阳县 氛氲香气多 曹娘娇态尽 春树不堪过
非关怜翠幕 不是厌朱楼 故来呈燕颔 报道欲封侯
粉壁图仙鹤 昂藏真气多 鶱飞竟不去 当是恋恩波
歌舞须连夜 神仙莫放归 参差随暮雨 前路湿人衣
还以金屋贵 留兹宝席尊 江凫啸风雨 山鬼泣朝昏
受脤清边服 乘骢历塞尘 当闻汉雪耻 羞共虏和亲
梦泽三秋日 苍梧一片云 还将鹓鹭羽 重入鹧鸪群
象物行周礼 衣冠集汉都 谁怜事虞舜 下里泣苍梧
鸾死铅妆歇 人亡锦字空 悲端若能减 渭水亦应穷
亭寒照苦月 陇暗积愁云 今日山门树 何处有将军
云日能催晓 风光不惜年 赖逢征客尽 归在落花前
宝鸡辞旧役 仙凤历遗墟 去此近城阙 青山明月初
客心千里倦 春事一朝归 还伤北园里 重见落花飞
芳屏画春草 仙杼织朝霞 何如山水路 对面即飞花
抱琴开野室 携酒对情人 林塘花月下 别似一家春
山中兰叶径 城外李桃园 岂知人事静 不觉鸟声喧
客念纷无极 春泪倍成行 今朝花树下 不觉恋年光
山泉两处晚 花柳一园春 还持千日醉 共作百年人
丘壑经涂赏 花柳遇时春 相逢今不醉 物色自轻人
物外山川近 晴初景霭新 芳郊花柳遍 何处不宜春
缀叶归烟晚 乘花落照春 边城琴酒处 俱是越乡人
野烟含夕渚 山月照秋林 还将中散兴 来偶步兵琴
江旷春潮白 山长晓岫青 他乡临睨极 花柳映边亭
长江悲已滞 万里念将归 况属高风晚 山山黄叶飞
桂密岩花白 梨疏树叶红 江皋寒望尽 归念断征篷
观阙长安近 江山蜀路赊 客行朝复夕 无处是乡家
帝里金茎去 扶风石柱来 山川殊未已 行路方悠哉
江汉深无极 梁岷不可攀 山川云雾里 游子几时还
九日重阳节 开门有菊花 不知来送酒 若个是陶家
解落三秋叶 能开二月花 过江千尺浪 入竹万竿斜
盘根植瀛渚 交干横倚天 舒华光四海 卷叶荫山川
上弦明月半 激箭流星远 落雁带书惊 啼猿映枝转
凄凉徒见日 冥寞讵知年 魂兮不可问 应为直如弦
江水春沉沉 上有双竹林 竹叶坏水色 郎亦坏人心
旅魂惊塞北 归望断河西 春风若可寄 暂为绕兰闺
龙行踏绛气 天半语相闻 混沌疑初判 洪荒若始分
在德何夷险 观风复往还 自能同善闭 中路可无关
北风吹白云 万里渡河汾 心绪逢摇落 秋声不可闻
息燕归檐静 飞花落院闲 不愁愁自著 谁道忆乡关
岁穷惟益老 春至却辞家 可惜东园树 无人也作花
怀印喜将归 窥巢恋且依 自知栖不定 还欲向南飞
兔子死兰弹 持来挂竹竿 试将明镜照 何异月中看
有意嫌兵部 专心望考功 谁知脚蹭蹬 几落省墙东
城上风威冷 江中水气寒 戎衣何日定 歌舞入长安
此地别燕丹 壮士发冲冠 昔时人已没 今日水犹寒
写月无芳桂 照日有花菱 不持光谢水 翻将影学冰
禀质非贪热 焦心岂惮熬 终知不自润 何处用脂膏
凌波起罗袜 含风染素衣 别有知音调 闻歌应自飞
忌满光先缺 乘昏影暂流 既能明似镜 何用曲如钩
寒更承夜永 凉夕向秋澄 离心何以赠 自有玉壶冰
朔风扣群木 岩霜凋百草 借问月中人 安得长不老
北伐虽全赵 东归不王秦 空歌拔山力 羞作渡江人
百战方夷项 三章且代秦 功归萧相国 气尽戚夫人
万里人南去 三春雁北飞 不知何岁月 得与尔同归
汉庭荣巧宦 云阁薄边功 可怜骢马使 白首为谁雄
故乡今日友 欢会坐应同 宁知巴峡路 辛苦石尤风
望苑长为客 商山遂不归 谁怜北陵井 未息汉阴机
白云苍梧来 氛氲万里色 闻君太平世 栖泊灵台侧
有道君匡国 无闷余在林 白云峨眉上 岁晚来相寻
天德平无外 关门东复西 不将千里隔 何用一丸泥
乐奏天恩满 杯来秋兴高 更蒙萧相国 对席饮醇醪
圣德垂甘露 天章下大风 又乘黄阁赏 愿作黑头公
西掖恩华降 南宫命席阑 讵知鸡树后 更接凤池欢
秋阴士多感 雨息夜无尘 清樽宜明月 复有平生人
醉后乐无极 弥胜未醉时 动容皆是舞 出语总成诗
今日此相送 明年此相待 天上客星回 知君渡东海
真人降紫气 邀我丹田宫 远寄双飞舄 飞飞不碍空
大师捐世去 空馀法力在 远寄无碍香 心随到南海
即今三伏尽 尚自在临邛 归途千里外 秋月定相逢
蜀地寒犹暖 正朝发早梅 偏惊万里客 已复一年来
客心争日月 来往预期程 秋风不相待 先至洛阳城
去国年方晏 愁心转不堪 离人与江水 终日向西南
实相归悬解 虚心暗在通 澄江明月内 应是色成空
危石江中起 孤云岭上还 相逢皆得意 何处是乡关
故岁今宵尽 新年明旦来 愁心随斗柄 东北望春回
今岁元日乐 不谢往年春 知向来心道 谁为昨夜人
春来半月度 俗忌一时闲 不酌他乡酒 惟堪对楚山
白首看黄叶 徂颜复几何 空惭棠树下 不见政成歌
三月时将尽 空房妾独居 蛾眉愁自结 鬓发没情梳
劲节凌冬劲 芳心待岁芳 能令人益寿 非止麝含香
客心惊落木 夜坐听秋风 朝日看容鬓 生涯在镜中
忽见寒梅树 开花汉水滨 不知春色早 疑是弄珠人
普天皆灭焰 匝地尽藏烟 不知何处火 来就客心然
岁去愁终在 春还命不来 长吁问丞相 东阁几时开
流景一何速 年华不可追 解佩安所赠 怨咽空自悲
心为明时尽 君门尚不容 田园迷径路 归去欲何从
黄叶因风下 甘从洛浦隈 白云何所为 还出帝乡来
抱玉三朝楚 怀书十上秦 年年洛阳陌 花鸟弄归人
去国三巴远 登楼万里春 伤心江上客 不是故乡人
秋郊日半隐 野树烟初映 风水正萧条 那甚动离咏
桂树生南海 芳香隔楚山 今朝天上见 疑是月中攀
普天皆灭焰 匝地尽藏烟 不知何处火 来就客心然
岁去红颜尽 愁来白发新 今朝开镜匣 疑是别逢人
闻道成都酒 无钱亦可求 不知将几斗 销得此来愁
春雪满空来 触处似花开 不知园里树 若个是真梅
擢擢当轩竹 青青重岁寒 心贞徒见赏 箨小未成竿
闻君庭竹咏 幽意岁寒多 叹息为冠小 良工将奈何
畏途方万里 生涯近百年 不知将白首 何处入黄泉
绿叶迎春绿 寒枝历岁寒 愿持柏叶寿 长奉万年欢
器乏雕梁器 材非构厦材 但将千岁叶 常奉万年杯
欲转声犹涩 将飞羽未调 高风不借便 何处得迁乔
百舌鸣高树 弄音无常则 借问声何烦 末俗不尚默
朱门长不闭 亲友恣相过 年今将半百 不乐复如何
避贤初罢相 乐圣且衔杯 为问门前客 今朝几个来
物情良可见 人事不胜悲 莫恃朝荣好 君看暮落时
岸与恩同广 波将慈共深 涓涓劳日夜 长似下流心
主人不相识 偶坐为林泉 莫谩愁沽酒 囊中自有钱
山上天将近 人间路渐遥 谁当云里见 知欲渡仙桥
茫茫烟水上 日暮阴云飞 孤坐正愁绪 湖南谁捣衣
朝见青山雪 暮见青山云 云山无断绝 秋思日纷纷
河洲花艳爚 庭树光彩蒨 白云天台山 可思不可见
欲啭声犹涩 将飞羽未调 高风不借便 何处得迁乔
汉家轻壮士 无状杀彭王 一遇风尘起 令谁守四方
残花与露落 坠叶随风翻 日侧南涧幽 风凝北林暮
耿耿曙河微 神仙此夜稀 今年七月闰 应得两回归
旅人倚征棹 薄暮起劳歌 笑揽清溪月 清辉不厌多
灵溪非人迹 仙意素所秉 鳞岭森翠微 澄潭照秋景
边地莺花少 年来未觉新 美人天上落 龙塞始应春
朝日照红妆 拟上铜雀台 画眉犹未了 魏帝使人催
长信宫中草 年年愁处生 故侵珠履迹 不使玉阶行
遗却珊瑚鞭 白马骄不行 章台折杨柳 春日路傍情
湖南送君去 湖北送君归 湖里鸳鸯鸟 双双他自飞
归时日尚早 更欲向芳洲 渡口水流急 回船不自由
自与王孙别 频看黄鸟飞 应由春草误 著处不成归
玉溆花争发 金塘水乱流 相逢畏相失 并著采莲舟
寂寥抱冬心 裁罗又褧褧 夜久频挑灯 霜寒剪刀冷
红颜称绝代 欲并真无侣 独有镜中人 由来自相许
月暗送潮风 相寻路不通 菱歌唱不彻 知在此塘中
汉使南还尽 胡中妾独存 紫台绵望绝 秋草不堪论
虽入秦帝宫 不上秦帝床 夜夜玉窗里 与他卷衣裳
送别未能旋 相望连水口 船行欲映洲 几度急摇手
淇上桑叶青 青楼含白日 比时遥望君 车马城中出
陇右长亭堠 山阴古塞秋 不知呜咽水 何事向西流
净扫黄金阶 飞霜皎如雪 下帘弹箜篌 不忍见秋月
西候情何极 南冠怨有馀 梁王虽好事 不察狱中书
一去一万里 千知千不还 崖州何处在 生度鬼门关
少妇石榴裙 新妆白玉面 能迷张公子 不许时相见
新秋夜何爽 露下风转凄 一磬竹林外 千灯花塔西
窗灯林霭里 闻磬水声中 更与龙华会 炉烟满夕风
莫以今时宠 难忘旧日恩 看花满眼泪 不共楚王言
新家孟城口 古木馀衰柳 来者复为谁 空悲昔人有
飞鸟去不穷 连山复秋色 上下华子冈 惆怅情何极
文杏裁为梁 香茅结为宇 不知栋里云 去作人间雨
檀栾映空曲 青翠漾涟漪 暗入商山路 樵人不可知
空山不见人 但闻人语响 返景入深林 复照青苔上
秋山敛馀照 飞鸟逐前侣 彩翠时分明 夕岚无处所
结实红且绿 复如花更开 山中傥留客 置此芙蓉杯
仄径荫宫槐 幽阴多绿苔 应门但迎扫 畏有山僧来
轻舸迎上客 悠悠湖上来 当轩对尊酒 四面芙蓉开
轻舟南垞去 北垞淼难即 隔浦望人家 遥遥不相识
吹箫凌极浦 日暮送夫君 湖上一回首 青山卷白云
分行接绮树 倒影入清漪 不学御沟上 春风伤别离
飒飒秋雨中 浅浅石溜泻 跳波自相溅 白鹭惊复下
日饮金屑泉 少当千馀岁 翠凤翊文螭 羽节朝玉帝
清浅白石滩 绿蒲向堪把 家住水东西 浣纱明月下
北垞湖水北 杂树映朱阑 逶迤南川水 明灭青林端
独坐幽篁里 弹琴复长啸 深林人不知 明月来相照
木末芙蓉花 山中发红萼 涧户寂无人 纷纷开且落
古人非傲吏 自阙经世务 偶寄一微官 婆娑数株树
桂尊迎帝子 杜若赠佳人 椒浆奠瑶席 欲下云中君
人闲桂花落 夜静春山空 月出惊山鸟 时鸣春涧中
日日采莲去 洲长多暮归 弄篙莫溅水 畏湿红莲衣
乍向红莲没 复出清蒲飏 独立何褵褷 衔鱼古查上
朝耕上平田 暮耕上平田 借问问津者 宁知沮溺贤
春池深且广 会待轻舟回 靡靡绿萍合 垂杨扫复开
淼淼寒流广 苍苍秋雨晦 君问终南山 心知白云外
山中多法侣 禅诵自为群 城郭遥相望 唯应见白云
猿吟一何苦 愁朝复悲夕 莫作巫峡声 肠断秋江客
与君青眼客 共有白云心 不向东山去 日令春草深
山中相送罢 日暮掩柴扉 春草明年绿 王孙归不归
相送临高台 川原杳何极 日暮飞鸟还 行人去不息
依迟动车马 惆怅出松萝 忍别青山去 其如绿水何
城隅一分手 几日还相见 山中有桂花 莫待花如霰
君家云母障 时向野庭开 自有山泉入 非因采画来
绿艳闲且静 红衣浅复深 花心愁欲断 春色岂知心
闲洒阶边草 轻随箔外风 黄莺弄不足 衔入未央宫
安得舍罗网 拂衣辞世喧 悠然策藜杖 归向桃花源
画君年少时 如今君已老 今时新识人 知君旧时好
朱实山下开 清香寒更发 幸与丛桂花 窗前向秋月
红豆生南国 秋来发故枝 愿君多采撷 此物最相思
轻阴阁小雨 深院昼慵开 坐看苍苔色 欲上人衣来
故人不可见 汉水日东流 借问襄阳老 江山空蔡州
山月晓仍在 林风凉不绝 殷勤如有情 惆怅令人别
结庐古城下 时登古城上 古城非畴昔 今人自来往
落日松风起 还家草露晞 云光侵履迹 山翠拂人衣
迢迢文杏馆 跻攀日已屡 南岭与北湖 前看复回顾
明流纡且直 绿筱密复深 一径通山路 行歌望旧岑
日夕见寒山 便为独往客 不知深林事 但有麏麚迹
苍苍落日时 鸟声乱溪水 缘溪路转深 幽兴何时已
飘香乱椒桂 布叶间檀栾 云日虽回照 森沉犹自寒
门前宫槐陌 是向欹湖道 秋来山雨多 落叶无人扫
当轩弥滉漾 孤月正裴回 谷口猿声发 风传入户来
孤舟信一泊 南垞湖水岸 落日下崦嵫 清波殊淼漫
空阔湖水广 青荧天色同 舣舟一长啸 四面来清风
映池同一色 逐吹散如丝 结阴既得地 何谢陶家时
濑声喧极浦 沿涉向南津 泛泛鸥凫渡 时时欲近人
萦渟澹不流 金碧如可拾 迎晨含素华 独往事朝汲
跂石复临水 弄波情未极 日下川上寒 浮云澹无色
南山北垞下 结宇临欹湖 每欲采樵去 扁舟出菰蒲
来过竹里馆 日与道相亲 出入唯山鸟 幽深无世人
绿堤春草合 王孙自留玩 况有辛夷花 色与芙蓉乱
好闲早成性 果此谐宿诺 今日漆园游 还同庄叟乐
丹刺罥人衣 芳香留过客 幸堪调鼎用 愿君垂采摘
积雨晦空曲 平沙灭浮彩 辋水去悠悠 南山复何在
归山深浅去 须尽丘壑美 莫学武陵人 暂游桃源里
驻马欲分襟 清寒御沟上 前山景气佳 独往还惆怅
冷艳全欺雪 馀香乍入衣 春风且莫定 吹向玉阶飞
汝颍俱宿好 往来托层峦 终日何寂寞 绕篱生蕙兰
送别到中流 秋船倚渡头 相看尚不远 未可即回舟
终南阴岭秀 积雪浮云端 林表明霁色 城中增暮寒
云阴带残日 怅别此何时 欲望黄山道 无由见所思
世界莲花藏 行人香火缘 灯王照不尽 中夜寂相传
竹吹留歌扇 莲香入舞衣 前溪多曲溆 乘兴莫先归
一雁过连营 繁霜覆古城 胡笳在何处 半夜起边声
山北天泉苑 山西凤女家 不言沁园好 独隐武陵花
沧浪临古道 道上若成尘 自有沧浪峡 谁为无事人
真门迥向北 驰道直向西 为与天光近 云色成虹霓
月昃鸣珂动 花连绣户春 盘龙玉台镜 唯待画眉人
大将军出战 白日暗榆关 三面黄金甲 单于破胆还
仗剑行千里 微躯感一言 曾为大梁客 不负信陵恩
棕榈花满院 苔藓入闲房 彼此名言绝 空中闻异香
双峰褐衣久 一磬白眉长 谁识野人意 徒看春草芳
荆门不堪别 况乃潇湘秋 何处遥望君 江边明月楼
映门淮水绿 留骑主人心 明月随良掾 春潮夜夜深
怨别秦楚深 江中秋云起 天长杳无隔 月影在寒水
枫林已愁暮 楚水复堪悲 别后冷山月 清猿无断时
诸侯分楚郡 饮饯五谿春 山水清晖远 俱怜一逐臣
客心仍在楚 江馆复临湘 别意猿鸟外 天寒桂水长
平明江雾寒 客马江上发 扁舟事洛阳 窅窅含楚月
