皎,千岩,趣,况
雁,阑,驿,送
汉,凤城,人行,明月
风骚,芙蓉,征,扑
丁丁,漫漫,响,寄
桂魄,未,夜,不忍
凤楼,天子,醉,流
三百六十日,中物,花满园,东家
落日,低,山,鼙
关,戈,出,水调
珠,羡,户外,前
长,愁,人,年年
纷纷,云,天上,人间
建章,缀,传声,为报
戍楼,漫漫,西,关山空
明朝,细,生死,云
千,殿西,国,花
宫,桃花,岁,更赏
吹,万,青海,听陇
早霜,羽,锦,喂来
笙,人,紫微,一千
旆旌,足,胡,三
报国,凉,汉,战
山庄,主,马路,人场
天乐,香,为报,王
鹊,上,春草,人学
共,沙,酣,还
太平年,朝宗,几多,尧
明月,荡,属,时数
晓辟,春,树,楼台
今夜,天河,璨,棱棱霜
依依,流,少,稀
山,草,宵渡,扫
万,音耗,山,为报
会,梁,胡,无心
彩,桡,意切,罗袖
白羽,羊复,草,山峰
沙,外月,不知,乡
杨,望尘,不觉,无泪
繁,转,乐,愁
碧线,翠,恨望,不得意
满子,就刑,八,肠声
楼,千秋,人,成
火烧,暗执,失,百尺
碧,为忆,下泪,裙
却归,犹,教,内
可怜,无,幸,何不
尘,柳色,君,关
苍,下,唱,晓猿
依依,无,采,入
梁苑,条,后,谁见
金缕,时,花,花
淡光,桂枝,冬,已
忽,吐氛,拥路,开
成,满,传,圣
花,青梅,岁,喜
光辉,成,含笑待,树
曙,向御,奉,无
声,缝,今朝,樱树
不语,上,争奈,图形
汉,上,上月,星斗
道士,下天,碧,写
征,安,云门,天
笙歌籥舞,鹭,调露,遽践
羽,朱,七德,穰
光,方,禋克,惟馨
敬,音容,景,邕
扆,灵,泰,静
登,龙雩,昭,朱
昂,厉,农神,岂
祥和,生,极,文武
分荐,递,泰,合
乱仙,莺啼帝,阁,明月
九日,烟,金花,天
坐,神光,盛,未央
不,太平,俱怨,若为情
嵩,迟迟,明月,游兮
紫禁仙,青,不知庭,花
违,白云飞,阙,去
乡,泓,衡阳,因雁
掩,吹,少,六
源,新,御,中
公堆,接连,千,何年
九日,送,厌南,北
听鸟,遥相妒,知,那及
忽,吐氛,拥路,蹊待
拥帝,八龙,凤凰原,鹦鹉
漫,天,后争,早梅
处分,人间,一朝琴,何日
御,英,仙,迹
翩翩,许,楼,莫
游,边愁,独怜,水
云,裙,去,学
九日,秋天,寒雁,游人
依依,高,教,知
愁,枕前,朱门,满耳笙
还,处,根物,月
无,轮,教,往来
草,民,笑野,青春
拂杯,共,还,开
暮兮,树石,明月,还
凤凰鸣,开花,树,传
洛阳,定不疑,秦地,相
成,宴玉,人夜,歌舞
倚,鹦鹉,君平,仙
洛阳,翩翩,寄意,香
云,芳,金,奉
条,风光,御,年
春宫,逢,光,寒气
旦,夜不疲,绮缀,珠帘
晋,一丘,情,山
洛阳,近,言,字
流水马,仙,汉匹,歌舞
光辉,成,含笑待,树
翠,流,传闻,跸归
金,逐,遥相望,事主
五原,垂,河畔,正是
御,英,仙,迹
丽日,锦流,横,汉
明光,连添,知帝,玉柱
沙,日,香,花
花,青梅,岁,喜
山,两难,莫怪,云
离别,足,碧海,笙
杨,攀折,衰,何必
协六,八,人神,天
协六,八,人神,天
阳,渭川,湛露,草
色,丽人,风,青春
相出,好,符天,共
月华,香炉,鴒,仙
三,满,下,摇
平湖一望,泉,满,疑
一望,上,仙,共
迥,极,高,船
寒食,寒食,著处,春
山,南穷,更投人,生涯
风光,陪,老,八十
成,满,传,奉
上林,在兹,欣逢,昔年
涧,流,王,游
象,凤楼,歌舞,鹦鹉
出,文华,深心,高
第一时,不惜,知夜,玉斝流
扉,客,曙,玉
裴,开,花出,逐酒
河洛,送,月,红
三,幌玲珑,中宵,蹰
洛阳,饯路,在何,下望
沉沉,漏,千,恨
送,光,人,享肃
宝马,柳禊堂,佐,捧
朝日,彩,喜遇,今夜
主,凤,甲夜,还
掩,吹,少,六
洛阳,由来,邑,四方
列坟,千秋,日夕,声
风光,上,潇,容
雁,裁,征,不知
台,开,正,相
重楼,遥向,宠,赤松
墨,飞来,街,握
见,瑞雪,树,新
壑,舆瞩在,子,主徒
芙蓉,条,脸,落时
曙,粉,奉,无
春宫,春,光,寒气
开,参差,还归,歌舞
曙,莑,奉,无
御,英,仙,迹
宰赴,征,丰道,手
风吹,云,茱萸,醉
观委,主,犹,歌舞
高,条,谁裁,春风
郁,镜水,芳,中流
鈒,乱,味,不道是
径,鸡,先,花
绵绵,绝,君贳,醉
大河,翠,尉,深
正红,云,邻,不畏
菰,开,不,人
南路,暗,草,十月
重,相,暮雨,知来
隔野,渔船,尽日,清溪
物态,便拟,雨色,沾衣
清,上烟云,东风,却待
馀,落,三,纸
地垂,春,请,时
台,翠,无,青苔
枫,乡,虽载,三
月,人不移,汉,师
前,入,翻,更著人
天门,御,条,劳
女,凤箫鸾,玉山,腰
不,不容,树,封
映,网,主人,老
相亲,闻道,见,洛阳
残,牡丹,乘露,就月
宝,上,见,将军
异乡,佳节,兄弟,少
天上,花,称,乡
尘,杨,君,关
浦,君,人憔悴,洛阳
将军,沙场,萧,见
清,移艳,叹,向池
客,荡,相,江南
阴盖,青苔,松下,世上
城边,汶阳归,寂,柳
条,云,暗藏,初齐
临泉水,拂酒杯,解,送落花来
相亲,闻道,见,洛阳
万,何日,落,管弦
外少,望虏尘,健儿,共赛
细雨,马,王宫,七
朱,变,心事,销
明月,荡,嘱,时数
返葬,苍苍,骨,人间
空忧,计,丘何,不
十,读书,中,长者
将边,草,高,不知
阴,散发,遥且,宠
穷巷,山,今朝,解
几程,绿芜,鲈鱼,东吴
物,飞鸟,宰,山
百花,无已,绝,东来
洛阳,飞逢,共,无
中外,新加,佩,清
部,西城,年,玉
老翁,曝,独搔,篱
支策,落日,风流,画
奏,相望,岁岁,他乡
僧衣,无,黄昏,微
能行,三十,合,洛阳
洞口,雨,满仙,兄弟
还,山,故园,人间
开露,高,歌舞,赐
香,珠帘,云,树
芙蓉,香,掩,明月
风动,愁,断,钩
钱塘,女儿,不得出,纱
愁,春日,柳色,封
登坛,春,初月,水晶
入合欢宫,禁,今夜,通
草,去,猎,后
谴度,江南,少,犹
闻道,湘沅,封,恩
漂,宣,恩,长江
还,溪,恩,相逢
天,炉,来意,明月
花,翠,君醉,寥寥
凉,酒,歌愁,不曾
微月,分付,千,深
古时,欲,万,宾客
斋心,一气,仙,濛濛
橘柚,凉,湘月,梦
故园,逢,渔,啼
暮蝉,树,去愁,天
头,迁,郡,天边
道,船,姬,随意
海楼,广陵,留,戈
深,道离,双帆,愁
送,日入,乘月,沧
秋,演漾,已,根
未能,含,醉,语
色,上,发,留
分,清江,见,日
渡,新,漫道,犹
太守,溪,青云,恩
驻,溪水,三峡,愁
冬夜,橙齑,武冈,片片
蒋,城路,云,树
风雨,月,西道,云
武冈,送,云雨,明月
长沙县,变,孤舟,鹤
辰阳,逢,谪,共
山,离尊,灵响,从此
上,两,离心,涨
山驿,恩辉,丰酒,遥
心,阴,近,深
留,客,侵雪,香
原头,时,绝,东来
香,人,留,胡
河上,青,至今,沧溟
书,颜,深,萋萋
映垂,风林,还,江南
留,明,花笑,春
胡,分,遁,兵
山,老,月,僧禅
清且,阳,思岭,合
杨,荡,岸,流
湖上,里,袅袅,不知
歌长,香,终,犹
前,数,儿家,何入
狭斜,唱,红,不忆
水,欲榜,杨,无
暮江头,水自流,逐臣,孤舟
花,处起,老,见
翠,岩,世人,遥
相,万,扫,满
放逐,送,满,老身
沧,病,茫茫,骑发
北长,掩扉,老,久
戴纱,来不可亲,变,五湖
石涧泉,纷纷,发,冠
悲歌,老,草,道
周,通,初日,扶桑
初,轩,无限,旌
中,水上,弊,不怜
花,五,瞻望,疑
湘,临歧,门下,见
莺啼,寥寥,无,千峰
战马,莺声,旌,万井
云山,依依,南来客,双
竿,铁,客路,千
汝南,汉,苍苍,城
此江,春,老,自语
稀,翠,新,深山
事,云,江春,送
催,莺报,异,送
衣,却忆,故园,春水
卑,阻心,千万,声
迁,滩,更去,日
相,始,楚,孤帆
昨夜,香,芙蓉,风
白日,沙,只怜,愁
翠,千,共,浮云
湖光,风,道,中
身心,人群,西林寺,出
扬州,去,早晚,偏畏
春,花,竹山,改
汉口,扬州,已遣,留
萋萋,水东流,花,空
青溪,子仙,雷雨,暮归
柳,思家,不知,若耶
锦,亦效,妓,看杀
花,寒食,居,推
纷纷,冉冉,计,老岩
山泉,春日,退,师
登,可怜,送,瓜时
吴,正,处泊,人肠
风,君,天末,越
渐,习,暑,阶下
僧衣,无,黄昏,翠
豪,筑,许,毛
山月,流,三峡,思
绝,未,堂,还
西望,湘,恩,君不遣
欲行,岸,深,送
啼,龙,明月,夜郎
鹤楼,扬州,影,流
清波,逸,山,白鹅
足荣,贳,色,送泉
碧,笑,去,人间
人,名三十,何须,如来
严陵,山,客星,扬州
舸泛,云门,寻,何必
老峰,芙蓉,秀色,云松
中断,东流,出,孤帆
美酒,玉,主人,不知
白帝,还,声,山
树,挂秋风,鲙,山
新,菱,今,曾照
王,义,满,只
栖,小吏,君,夜空
花,杯复,我醉,琴
为迁,不见,中,落
见,玉盘,老,水晶
高,白帝,入,更
跨,罢,铁,血
百战,重围,呼,独领
飞声,满洛,折,故园
圣人,冠,天乐,夜郎
子,花,一回肠,三
羁,春风,低轩,入
骄行,拂五,笑褰,红楼
香,上,醉,窗
生网,亲,辞醉,杀人
天,明月,雁,章
帝都,蓬壶,沉,愁
逢,笠子,借问,诗苦
犹,古人,乡村,见话
对床,骑行,篱菊,半
满,掩,常,言
竹,十数,粉,幽
禁,差池,爱,松枝
山明,满,闲居,风尘
草,故园,尽日,上
恨不同,沧海,秋山下,雨
戈,道,信忽,千
羡,斋,流,诗待
间荏,无,徘徊,清都
兀,山,欲,见
禁,流,看花,杜陵
茅种,石坛,许,忽作
沙边,愁,野泉,知
老,相逢,不,阁
斋换,共,浦,帆
新婚,蓝衫,虎丘,不知
花,君醉,南北,去
爱,双骖,枉,岚
几峰,虎行,知何,山门
老,雁,西北,独上
山扉,床头,道谢,今日
新,亦,后,霜
九日,君不遇,怪来,山
亦流,拆,归来,还
江城,忆,开,陪鸳鹭
半,满,诸,记
行迹,香,庭,老
欹,攀崖,竹,世缘
高,朱,啼鸟,中有
吹,风动,人,更
今朝,田,知何,期
独怜,深,来急,无
清,声,孀,转何
牡丹,钱,明见,共
向边,留,何日,君愁
须,深,令然,行路
刹,旁,去,中何
条,迥临,近,疑
云,裙,去,学
秦山,条,不可见,看
花,开,看,早
道,草,日光,老
立,上,中,愁
长安万,何惜,堪肠,岁
少,去,太白,胡天
原驿路,散,看,犹
仙,看,到舍,不
色,斑斑,相,山
手把,夫人,一点,烟波
峰,送,皆,浓
恩,过海,相见,衫
深,枫树林,驷,樽须
匹,争,送,泪
剑,置,曲断,座上相看
山,关,霓,人间
依依,暮鸟飞,满,未
漫漫,泪,相逢,平安
客行,云天,尽天,西
天,见月,知何,万
轮台,乡,山,为报
蕃,锦醉,苦战,仍
天山,缩,场,貂鼠
桃花,髻,阳台,许归
帛,愁,家,不知
仍沽,花,仍,肯否
春风,尚,春梦,江南
天地,生意,蛇,瘦
黄芦,满衣,送,何日
青鸟,深,下,明月
女,深彩,销归,双
色,泠,花,暂
老翁,鸡,无,还
不,羁,改,还
骑,闲不开,中,舞台
愁,条,下,安
纱,杀人,不复返,旁
石季,谋身,珠,歌舞
无,墨,醉,后
老翁,相,欢,官谢
中峰,金,见,扣
无异,又归,鹊,在定
高,骚,鸂,流
今日,花,看,驻
玉树,送,山,阳
幸,无,腰,鬓边
前庭,留,思处,山
江西,山,今日,浔阳南
雨,愁,相系,蒹
身,西江,不,眠
江,光,山城,南枝
美貌,少,楚,山少
似长,体,常,满
共,人间,手,山
芙蓉,繁,脸,落
京华,双,最为,袁
去,篱边,不,弘
杳鸾,神仙,主人,留
孤帆,吹,江南,为岭
幸,无,腰,鬓边
相见,半斜,阙,残菊
清风,红,阁,江湖
仙,水东流,老,树
云,骠,剑折,侯
原野,裘,醉,岁
胡,月闲,落梅,满
桂阳,犹,一归,云
相逢,雁,主人,薄
危,凉,竹,清歌
游子,斋,里,日秋风
寒灯,凄然,今夜,愁
日,役,物,起潭
违,家乡,骨,高堂
草堂,勤苦,无人,宿
云山,桐庐,莫,湲行
飘,愧,狂,扈
纷纷,三,骑,桥
纷纷,云,天上,人间
薄媚,坐,姓,瓶索
根,送,河阳,濯锦
华轩,高,上舍,分
堑,见,饱闻,亩
落落,不朽,千,根数
坚,玉,霜雪,送
花,黄梅,石笋,坊
使臣,无,羁离,裘
山,见,鞭,马军
无,行书,知,迹
相,云,上,王右
水头,东州,却,船
褭褭,玉,滴,蓬婆
去人,三,拳静,跳
大贤,不必,庙,江
湖水,尊下马,久判,莫
见,几度,江南,君
恩,入,粉涴,澹
朱,谁家,相逢,才
一聚,人,烽火,新
女下,紫禁笙,为报,天
梁子,颠,仍作,薄难
秦天,捣衣,月,旧馆
散,山,君须,漫漫
柳,窅,吹,心满
黄,坐,深,道
相逢,连天,共,北斗
鹤,忆,羽翼,雁
乡,衡阳,都,湘
洛阳,三,浮云,随江
流,今夜,色,竹
墀,相见,云,俱
尚未,今日,闻道,千
里潮,遥,莫,萧条
挂斜,翠,别酒,羡
扉,满,萦,共
接,入,棹,残
黄鸟,花,竹山,改
映,高,轩,落日
竹,流,尽兴,声
旧栏,看,主人,青松
玉,东堂,还家,含笑下
月,风,敲,水国
湘何,两岸,二十五,飞来
有声,烟坞,东风,逢
草,惊翰苑,阻,行路
忘言,惊林,思今夕,寸心
吴越,还,无,看
脱,劳,新,入
春日,城门,市,草
杨,正,红尘,胡
乱,客行,林端,令
偏,篱,浮云,青山
繁,悲歌,皆,春
满天,对愁,寒山寺,船
耕夫,万顷,窥郡,新
流,世事,东林,琉璃
紫阳,汉帝,驭,看
岁,见,洙,残
君,令,深浅,悠悠
歌馆,帐,老,东风
淡,花,征,开时
白马,刹见,萧萧,羁
楹,衣,高如,河流
四海,当代,石,戒
云,纷纷,落日,君
花,御,传,侯家
来御,渭桥,红蹄,花
赭,花,喷沫,金
斑斑,新,笑,主人
山齐,苍苍,高,秋河
销,日,锁,绿水
阙下,白,酒,花
孙别,羡,春,前
千,缠騣,章,杨
影,重,题,洞
匹,暮雨,春,叶齐
过猿,看,暮雪,主人
兔,乘风,依然,木
灵寿,浮云,树,翁
旌,鼙,门,相
风台,万里沙,离别,真家
萧,花,君仙,吹箫
正波,远别,赠,何以
旧林,花,航,深
骆马往,浦兰,最,儿
夜不疲,思,影,酊时
条,俱,醉,问乐
掉轻,寻常,在何,落日
上,深松,云,东南
声如,墙,深锁,树
云,山,妙,冰雪
曙,朔风,赠,送
云,子,寒蝉,回头
思归,雁,西北,逐
木,连云,借问,只
转时,游人,留,未
芜,风尘,安,解
江南,树,荡,共
未,适,远水迢迢,天边
红霞,绛节,天,时人
毗陵,与换,今夜,霏霏
将谢,遥夜,深,清霜
送,切切,道,白云
才见,雁,催年,逐山
人群,白云,坐,纷纷
徐,恨,落日,还
君,老,深山,悠悠
烟霞,白日,闻道,青鸟
近,池阳,日,落待
飘,清樽,黛色,愁
牡,海林,远,公
无垢,人群,相思,出
白云,石泉,月,苍苍
送酒,开花,愁,令家
欲,流,近,篱菊
让候,开,阁下,玩
半夜,苍苍,孤猿,亦
霁,樯竿,山前,日
深月,阑,知春,新
日落,泪痕,空庭,满
朝日,萋萋,东风,条
悠悠,流,棹,桃溪
稀,送归,今日,应
文西,三十,合,洛阳
禁仙,薇郎,雄风,香
流出,人,阑,萧萧
玉,与刀,三春白雪,黑山
笑,相逢,流水,花
春,岁,花,莫
我师,两度,树,银台
霏霏,杀,君且,处归
不复,蓝缕,三,咸阳
不蔽,贫,世,亦笑
绳床,笠,声,冷灯
暮雨,八十,出定,污
登高无力,篱边,不,弘
主人,数,池,丁
罢,下,局,下山
盘,犹,烟火,朝来
新,不知,笑,四
半破,笑,上,下山
船,相,见,守
遥,流,许,钱
机,青袍,无,玄晖
罢,栖,惊破,半夜
放逐,汉江,外常,仙
汉关,满,催,匹
春色,渡,江城,条
万事,含泪,歌舞,留
方,身心,无,深
郭里,一别,江南,鸦
竹闭,早,山,商声
欲枉帆,君,醉,老人
正逢,不笑,掩,竹
云山,桐庐,莫,湲行
水,欲榜,杨,无
青丝,君,皎洁,辘
吹,朱阁,花,泣
犹,砰,醉,乱
行,珠泪,梦,半夜
稀,啼处,故园,犹
赤栏,洞,姑音信,浔阳江
满,欲,余,登
阴十二,新,此生,今日
传,太平年,唱,霓裳
花,游人,寝庙,赐
山,井,松树,夜半子
无,久,不堪入,犹
日,浩浩,见,路生
直复,鸡,仙,流
两,逐,扬州,晓
满,后,见,徘徊
天下,相,身,沧溟
名,山,憔悴,烟霞
桡,草,树,花开
鸣笳,犹,树,黄鸟
天,上,姑,二郎
飞鸟,明,玉,攀
情难说,醉,下,圣
江南,乐,柳色,威
积,动人,皆能化,山
客鸟,蒙,一朝凤,鸱
主,重,舆,声
发,少年,更上,船
湖边,茅嶂里,丈夫,水西
共,几人,寂寞,让少年
无,伪作,相逢,山
搔头,高,知,不用
浥,舞衣,树疑,回雪
花,转世,清响,云
秦声,咽复,莫遣,撩
人间,须,江南,知
树,欠,竹,引取
少,鹿门,色,几人
祈,官,那知,山门
晋,窗,碑,犹向
分明,说仙,上,边花里
几千,主人,谪,四
水边,雁,孤,船
流,上头,采得,游
山,月闲,梦里,洞
深宫,肠时,君,寄
逢,杏叶,上,山月
山,边血,山,晓
苍,下,唱,晓猿
凤楼,天子,醉,流
思远,下,见,还
渺,唱,君皆是,奈
故人,买,不作,柳
春,金,无,莺得见
竹,犹疑,无,月
茅庵,云,幽径,声
树,不知,深,看碑
难堪,役,唯吾,别人
千,生离恨,下,锦
翻翻,足,胡,三
条,村,发,疑
上亭,蔓系,浑,频
商山,傍,卸,人樵
入夜,桐,明月,愁
万,关心,休,条
濛濛,通,西江,先
春宵,天涯,重,婆
漫流,沙边,浦,满
蹉,五湖,客,醉
门前,心,西,一度
暮雪,江,无,夜明
金钱,花,见,争
前,初,此处,萧萧
画,营营,相逢,何日
不复,间,浦,山
江城,游客,别泪,阑
汉,玉,匹,中
满,似雪,骑,游侠
翡翠,成,王,君
山,城未,声声,还
禅,身心,草木,四
三,江楼,谁道,裘
深,共争,自怜,持
百,云,夜郎,馀
知春,看,老,救
柳烟,折,便,莫遣
石,珠宫,上,月
尘,朱,山村,主人
深山,明,心,潭水
漫流声,竹,不知,还
婕,斯文,花,仙
百战,西望,曲,词
可忧,安,敢,前
花,虚无,汉,网
馀,今夕,老,一度
表,折桂,丝作,随身
羽,欲何,无弹,今作
少,天,已,花
吐,披,西园,笛
侵,紫河,自怜,山
中,揖仁,文字,鲁
见,沧,封,犹
看花,今朝,人间,爱芳
登舟,西垣,君相,毗陵
趋,半,相见,鬓别
源,带,枝枝,休闲
天,中,西南,四千
将军,花,春来,无言
天山,汉,骑休,城边
封,鬼神,台,岩
青,与天,万,背
地霜,四愁,封禅,相如
共醉,上,莫,浅处
不见,扑,山,喷
春,离身,浑,指
二百,淡如烟,日,未
春迟,满天,宿,船
古堞,泉,树,文字
偏怜,清,轻,丈人
愁云,白羽,三,官军
骑,来自,无,乱争
云映月,争,醒,叶动
销见,吹,上,花
身,槐花,新,骑
憔悴,玉,太行,倚入
滞龙,敕,旧宅,牡丹
去不回,树锁,事,玉
巢,湲,绝,入
涓涓,花,相,恐
还,三湘,衡,日
离宫,深,云雨,棠
桑,羸,身外事,残阳
成,不由身,惊此,买
欲问,流,东风,王台
剑,澄,龙,两溪
金钱,恩,长江,龙门
奈,手,君,白露
儒生,斋壁,如今,寄
芳,坠,上铎,耳边
龙,带,明月,捣衣
氏,云,东西,时
孟,清,人,殿前
天,六月,老,共
云,场,满,流
阙,毡,影,南
凤梭,仙,相逢,深
无,怨,玉门关,边城
消,掩,相思,泪痕
茅底,阮,世态,分送
处处,怀,上,落日
树,接,发,东风
芩,掩,归来,写佛
凉,树,思,隔水
掩,浑,无,片片
珠诚,太守,十,中庭
八尺,金陵,竹,那寺
还,山,滩,白鸥
凉月,山色,兰溪,半夜
漫漫,阑,晚,一汀
隐,先,剡,师
逐,怨,湖水,知行
独归,邑,去,山溪
书,仍,人,刘桢
无旧业,公卿,低头,上
欢,山,万,铁
白发,助,事,共
欲作,径,留醉,庐山
身,甚於,游,人
怀,乱流,今日,云
山,哀,犹,遥
山,见,共,挥
还,相关,有井,胡
毫末,依旧,老,却少年
发,邀,归来,见
茱萸,明月,相,醉
流,春,无,共
半夜,苍苍,孤猿,亦
山,山里春,求,乡
城月,相留,此夕,知
楚间,玉,政化,逋
许,醉,曲,肠
阁,见,堆案,古时
水过,繁,托,啼猿
不闲,深山,飘,云
雁,羁,无定,相
纷纷,频频,晚,送
送远,渡,骑,山
共醉,相亲,无,花
游,秋,行路,啼猿
柳,松枝,停舟,自知
巫山峡,惊,闻道,知断
开,出,日夜,人
十月,悠悠,书,愁
水城,花,旗,树
远行,况,涉水,羞见
身,山,渡,荒亭
人此,瑶台,将军,人间
澹,雨,未,醉
十月,冷,今朝,还
看,失林,正,寒
流泉,咽,娥,云
转野,双,龙,摧
闻偈夜,开,留语,逐臣
携琴,相逢,中弹,船
河阳,香,送,长
相逢,百年,今夜,山
明月,山,发,君
国,火烧,无,处期
鹤,风物,报,愁
奉役,不,中头,面见
看,草,细雨,愁
殡御,下,秋山,石
无粮,乡,古城,金疮
肩,不知,卧,孙无
厨,绕,雨,敢烦
阴,深,逢,山
常切,今日,问玉,府
官,拙,山,衰
惭,山,无,间
珠,以琴,雠,坐
天,次,草丛丛,绿莓
云雪,最高峰,人间,相逢
音声,秋,不尽,月华
夕照,知春,看,歌舞
参差,花,修持,沙
中条山,里神,阶尘,不知
掩,常,诸,影里数
花,花,伴,晴明
下方,白云流水,犹,竹
古,寺里,相,老
饮泉,山,坡,眠
山花,登寺,无,看
影,浮,门,九江
红枝,攀,吹,开
新,满,伯,身
始,阅,半饼,题数
船,平,飞沙,一半
悬布,回言,处,尊前
俨行车,鐍装,向东,公何
贵惜,牡丹,玉盘,就月
濛濛,草,人语,云
行时,泉,叶声,云
晴空,烟霞,迷路,翁
真,毛遂,三千,今日
春,满,唱,征人
汉,半,近,山
影,兄弟,封,犹待
无,公,沾雨,持
无限,阙,长堤,愁
鹈泉,千,日,帐
汉,恩,血,年妾
旌,少,悲前,旧
紫蕊,游客,知,花
带佩,玉,子,凉
心,晓闻,写,上
送,依依,飞雁,从遣
蘋洲,不待,事,杨
天山,吹,征,看
关,吹,塞,卷入
春,吹,漏,共
台,黄昏,昔时,今日
禁垣,闱山万,月,见
红霜,红楼,有人,钩
榆,古,骨,教士卒
新,日日,前,条
秋,不知,拂,天
微月,缠头,山,胡
笛唤,迁,雁,不待
群,送,闻道,云
汉峰,骨,石,无人空月
母,璃,焚,静
柳花,信,风光满扬,共
国春,花,风光,见
树齐,岳阳,戍,落日
似边,上此,今日,秋
滹沱,柳,山,频
思,休,爱,明月
沙,降城,不知,乡
在虏城,汉宫,老,定
寄,满,信,扬州
仙,混俗,忽作,寻
汉,绣,移仙,汉
销,日,锁,转桥
山齐,苍苍,高,秋河
斑斑,新,笑,主人
灞岸,折,便,莫遣
石,珠宫,上,万里无云
相逢,百年,今夜,山
惟愿,定远,海窟,天山
山,黄,剑,将军
意何,客,帐,与婢
汉,云,见,远客
月,未灭,披衣,朝来
去谢,恩,恨,声
上路,雁,休,汉家
人,云,征战,朝来
沧溟,归来,唯有,见
开,寝,秋,天
共,西林,山,公
暮雨,霏霏,东林,番声
子卿,汉,安,玉楼台
寻,两三,犹,吹
亭亭,涟心,弹,黄庭
百花,年华,避俗,旧侣
仙,三,桃,醉
怆,与断,暮,濛濛
信,秋山,阴醉,还
苍苍,作行,旆,清
屡请,玉,欲,几多
鸣,旆,城望,荆门
栊,看盛,英,繁
云,人衣,早,逐
丘过,云,爱,正逢
心,冠,雨,祝融
里,南北,除却,两魂
雪,徐,不必,素
天才,杜久,中华,玉
蕊,紫,彩,玉
日,上楼,峡,蛾眉峰
西江,上,乡信,雁
帝,清弦,共,花
花满,咸,孤,弄
河边,迟,草,绿时
愁,新泪,相,扬州
剑阁迢迢,山,去,槐花子
笑,掩,云峰,驾驭
岐,南来,莺,深
湘,醉,美酒,钱
禁鸣,窗,青苔,啼伯
晴时,失,早,江
频,山河,剑,问
次,寄,天,乱见
瑞气,花,黄鸟,流出
妃,山,有菱,照旧
菲此,跗万,犹,覆地
见,纷纷,分手,满
关,云画,翩翩,客
花,去,来时,送
关,还,今日,山
万事,花,歌舞,留
年华,春风,衰,繁花
官,春风,江县,独
云,烟思不堪,莫怪,晋
鼓,长戟,绝,翩翩
没,金,随风,认
见,寒食,洛阳,游人
脸不胜,发,摇摇,愁
两,花,醉,闻
坐,游,送,秋
知,迟迟,讲席,师
苍苍,还,羡,山
茅庵,孤,幽径,声
武尔,干时,趋会,惭
长江,轻,天,岳阳
落晖,见,草,稀
蟾钩,沈醉,风流,见
弓,鹈,成雪,犹
长江,轻,天,岳阳
洛阳,为弟,南北,无
山,蕣,多情,云
人夜,君,锁,山山
上,叶团,凉,芙蓉
哑,栖,殿绕,开
